Category,Issue,Platform,Severity,Keywords,Description,Do,Dont,Code Good,Code Bad,Metric,Reference URL
Startup,Cold Start Time,All,Critical,"cold start launch time splash app",App takes too long to launch,Minimize work in Application/AppDelegate/main,Heavy initialization on startup,Lazy-init dependencies use background init,Init all libraries in onCreate/didFinishLaunching,< 1s cold start,https://developer.android.com/topic/performance/vitals/launch-time
Startup,Splash Screen,Android,Medium,"splash screen core splashscreen api",Splash screen shown too long or flickering,Use Core SplashScreen API with proper theme,Custom splash Activity or fixed delay,installSplashScreen() with keep condition,Thread.sleep(2000) in splash activity,< 500ms splash,https://developer.android.com/develop/ui/views/launch/splash-screen
Startup,Baseline Profiles,Android,High,"baseline profile startup dex compilation aot",No baseline profiles for AOT compilation,Generate and include baseline profiles,Skip baseline profiles for release,Use Macrobenchmark to generate profiles,No profileinstaller dependency,20-40% faster startup,https://developer.android.com/topic/performance/baselineprofiles/overview
Startup,Pre-warming Views,iOS,Medium,"prewarm view controller initialization prepare",Key views not pre-initialized,Pre-warm frequently used ViewControllers,Initialize everything lazily on critical path,Prepare next screen data in background,Load everything on viewDidAppear,Faster transitions,https://developer.apple.com/documentation/uikit/view_controllers
Startup,Tree Shaking,Flutter,Medium,"tree shaking unused code dead import",Unused code included in release build,Enable tree shaking remove unused imports,Import entire packages for one function,import package:lib/specific.dart,import package:lib/lib.dart // entire lib,Smaller binary,https://docs.flutter.dev/perf/app-size
Startup,Hermes Engine,React Native,High,"hermes engine javascript bytecode startup",Not using Hermes JavaScript engine,Enable Hermes for faster startup,Use JSC engine,hermesEnabled: true in build.gradle,hermesEnabled: false,50% faster startup,https://reactnative.dev/docs/hermes
Rendering,Compose Recomposition,Android,High,"recomposition compose skip stable remember",Excessive recomposition in Jetpack Compose,Use stable types remember derivedStateOf,Pass unstable lambdas to composables,val callback = remember { { doWork() } },onClick = { viewModel.doWork() } // recreated,< 16ms per frame,https://developer.android.com/develop/ui/compose/performance
Rendering,SwiftUI Body Complexity,iOS,Medium,"swiftui body complexity view performance extract",Complex view body causing slow rendering,Keep view body simple extract subviews,Giant view body with many conditionals,Extract into smaller focused views,Single View with 200+ lines body,60fps,https://developer.apple.com/documentation/swiftui/view/body-swift.property
Rendering,Widget Rebuild,Flutter,High,"widget rebuild build method performance const",Unnecessary widget tree rebuilds,Use const widgets and targeted rebuilds,Rebuild entire tree on any state change,const Text('Static') and BlocBuilder,setState in parent rebuilds all children,< 16ms build,https://docs.flutter.dev/perf/best-practices
Rendering,FlatList Optimization,React Native,High,"flatlist performance render virtualization getitemlayout",FlatList rendering slowly,Use getItemLayout removeClippedSubviews,Render all items without virtualization,getItemLayout for fixed-size items,No keyExtractor inline renderItem,60fps scroll,https://reactnative.dev/docs/optimizing-flatlist-configuration
Rendering,Overdraw,Android,Medium,"overdraw gpu rendering layers background",Multiple overlapping background draws,Remove unnecessary backgrounds,Stack multiple backgrounds on same area,Single background on container only,Background on parent AND child,< 2x overdraw,https://developer.android.com/topic/performance/rendering/overdraw
Rendering,Offscreen Rendering,iOS,High,"offscreen rendering shadow cornerradius mask layer",Shadows and corners causing offscreen passes,Use shadowPath and rasterize for shadows,cornerRadius + shadow without shadowPath,layer.shadowPath = UIBezierPath().cgPath,layer.cornerRadius + layer.shadow,Avoid offscreen passes,https://developer.apple.com/documentation/quartzcore/calayer
Rendering,Skia Shader Jank,Flutter,Medium,"shader compilation jank first frame stutter sksl",Shader compilation causing first-run jank,Warm up shaders with SkSL capture,Ignore first-run jank,flutter run --cache-sksl,No shader warmup,Eliminate first-run jank,https://docs.flutter.dev/perf/shader
Memory,Leak Detection,Android,Critical,"memory leak leakcanary hprof profiler",Memory leaks going undetected,Use LeakCanary in debug builds,Ship without leak detection,debugImplementation leakcanary-android,No leak detection tools,0 leaked activities,https://square.github.io/leakcanary/
Memory,Image Memory,All,High,"image memory bitmap large resize decode",Loading full-size images into memory,Resize images to view dimensions,Load 4000x3000 for 200x200 view,Coil/Glide auto-resize to ImageView size,BitmapFactory.decodeFile(path) full size,< 100MB app memory,https://developer.android.com/topic/performance/graphics
Memory,ViewHolder Recycling,Android,Medium,"recyclerview viewholder recycle bind lazy",Not properly recycling views in lists,Use RecyclerView or LazyColumn with keys,Create new views for every item,LazyColumn(items key = { it.id }),Column { items.forEach { ItemView(it) } },Constant memory in lists,https://developer.android.com/develop/ui/views/layout/recyclerview
Memory,ARC Retain Cycles,iOS,Critical,"arc retain cycle weak strong closure delegate",Strong reference cycles in closures,Use weak/unowned references in closures,Strong self capture in closures,{ [weak self] in self?.doWork() },{ self.doWork() } // strong capture,No retain cycles,https://docs.swift.org/swift-book/documentation/the-swift-programming-language/automaticreferencecounting/
