Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
Widgets,Prefer StatelessWidget,Use StatelessWidget when no mutable state needed,StatelessWidget for presentation-only widgets,StatefulWidget for everything,"class Greeting extends StatelessWidget { const Greeting(this.name); }","class Greeting extends StatefulWidget // no state needed",Medium,https://api.flutter.dev/flutter/widgets/StatelessWidget-class.html
Widgets,Use const Constructors,Use const constructors for compile-time optimization,const for widgets with compile-time known values,Non-const for static content,"const Text('Hello World')","Text('Hello World') // not const",High,https://dart.dev/guides/language/language-tour#constant-constructors
Widgets,Keep Build Methods Pure,Build method should be pure no side effects,Only describe UI in build method,Trigger network calls or setState in build,"Widget build(ctx) { return Text(widget.title); }","Widget build(ctx) { fetchData(); return Text(''); }",Critical,
Widgets,Extract Widgets not Methods,Extract separate widget classes not helper methods,New widget class for reusable UI pieces,Private methods returning Widget,"class ItemCard extends StatelessWidget {}","Widget _buildCard() { return Card(); } // no optimization boundary",Medium,
Widgets,Use Keys Correctly,Provide keys when widget identity matters,Key for items in lists preserving state,Keys on every widget or none on list items,"ListView.builder(itemBuilder: (ctx i) => Item(key: ValueKey(items[i].id)))","ListView.builder(itemBuilder: (ctx i) => Item()) // no key",High,https://api.flutter.dev/flutter/foundation/Key-class.html
Widgets,Dispose Controllers,Always dispose controllers and listeners,Override dispose for TextEditingController ScrollController,Skip dispose causing memory leaks,"@override void dispose() { _controller.dispose(); super.dispose(); }","No dispose() override",High,
Widgets,Use Widget Inspector,Debug widget tree with Flutter DevTools,Use Widget Inspector for layout debugging,print statements for layout debugging,"Open DevTools > Flutter Inspector > Select Widget Mode","print('width: ${size.width}')",Low,https://docs.flutter.dev/tools/devtools/inspector
Widgets,Prefer Composition,Compose widgets instead of extending them,Combine existing widgets via composition,Extend RenderBox for simple layouts,"class MyCard extends StatelessWidget { Container(child: widget.child) }","class MyContainer extends Container {} // fragile",Medium,
State,BLoC Events Over Methods,Use events not method calls with BLoC,Add events for state changes,Call methods directly on BLoC,"bloc.add(LoadItems())","bloc.loadItems() // breaks unidirectional flow",High,https://bloclibrary.dev/
State,Cubit for Simple State,Use Cubit when events are overkill,Cubit for simple state without complex events,BLoC for toggling a boolean,"class CounterCubit extends Cubit<int> { void increment() => emit(state + 1); }","class CounterBloc extends Bloc<Event State> // overkill",Medium,
State,Immutable State,Always use immutable state objects,Use freezed or copyWith for state updates,Mutate state directly,"emit(state.copyWith(loading: false items: newItems))","state.items.add(newItem); emit(state) // mutation",Critical,
State,Scoped Providers,Scope state providers to feature widgets,Provide BLoC at feature route level,Global BLoC for feature-specific state,"BlocProvider(create: (_) => CartBloc() child: CartPage())","Global CartBloc at app level",Medium,
State,Selector for Partial Rebuild,Use BlocSelector for granular rebuilds,Select specific state fields to rebuild,BlocBuilder rebuilding on every change,"BlocSelector<MyBloc MyState String>(selector: (s) => s.title builder: ...)","BlocBuilder<MyBloc MyState>(builder: ...) // every change",High,
State,Repository Pattern,Abstract data sources behind Repository,Repository mediates API cache database,Direct API calls from BLoC,"class UserRepo { Future<User> getUser(int id) async { return cache[id] ?? await api.getUser(id); } }","class UserBloc { final dio = Dio(); }",High,
Navigation,GoRouter for Navigation,Use GoRouter for declarative routing,GoRouter with typed routes and deep links,Navigator.push for everything,"GoRouter(routes: [GoRoute(path: '/' builder: (ctx state) => Home())])","Navigator.push(context MaterialPageRoute(builder: (_) => Page()))",High,https://pub.dev/packages/go_router
Navigation,ShellRoute for Tabs,Use ShellRoute for persistent bottom navigation,ShellRoute wraps scaffold with nested nav,Recreate scaffold on each tab route,"ShellRoute(builder: (ctx state child) => ScaffoldWithNav(child: child))","Custom tab logic with IndexedStack manual routes",Medium,
Navigation,Route Guards,Implement route guards for auth protection,GoRouter redirect for authentication checks,No route protection for auth screens,"redirect: (ctx state) { if (!isLoggedIn) return '/login'; return null; }","No redirect unauthenticated users see protected",High,
Navigation,Typed Route Params,Use typed path parameters,Typed parameters with GoRouterState,Pass complex objects via route strings,"GoRoute(path: '/item/:id' builder: (ctx s) => ItemPage(id: int.parse(s.pathParameters['id']!)))","Navigator.pushNamed(ctx '/item' arguments: obj)",Medium,
Performance,Use RepaintBoundary,Isolate expensive widgets with RepaintBoundary,Wrap frequently animating widgets,Let animations trigger parent repaints,"RepaintBoundary(child: AnimatedWidget())","AnimatedWidget() in complex parent",Medium,
Performance,ListView.builder Always,Always use ListView.builder for lists,Builder creates items lazily on demand,ListView with children for large lists,"ListView.builder(itemCount: 1000 itemBuilder: (ctx i) => Item(items[i]))","ListView(children: items.map((i) => Item(i)).toList())",High,
Performance,Avoid Opacity Widget,Use color opacity instead of Opacity widget,Set opacity on color or AnimatedOpacity,Opacity widget on complex subtrees,"Container(color: Colors.black.withOpacity(0.5))","Opacity(opacity: 0.5 child: ComplexWidget())",Medium,https://docs.flutter.dev/perf/best-practices
Performance,compute for Heavy Work,Offload heavy computation to isolate,compute() for JSON parsing image processing,Heavy work on main isolate blocking UI,"final parsed = await compute(jsonDecode largeString)","final parsed = jsonDecode(largeString) // blocks",High,
Performance,Cache Network Images,Always cache network images,CachedNetworkImage with placeholder,Image.network without caching,"CachedNetworkImage(imageUrl: url placeholder: (ctx url) => Shimmer())","Image.network(url) // re-fetches every rebuild",High,
Performance,Profile in Release Mode,Profile performance in release mode,flutter run --release for perf testing,Profile in debug mode much slower,"flutter run --profile for accurate data","flutter run (debug) complain about jank",High,https://docs.flutter.dev/perf/best-practices
Performance,Minimize Widget Depth,Keep widget tree as flat as possible,Reduce nesting use proper layout widgets,20+ levels of nesting,"Row(children: [Expanded(child: Text('Hi')) Icon(Icons.star)])","Container(Padding(Center(Container(Text('Hi')))))",Medium,
