Pattern Name,Platform,Category,Keywords,Use Case,Components,Implementation Notes,Accessibility,Reference URL
Bottom Navigation,Android,Navigation,"bottom tab navbar material",Main app navigation,NavigationBar|NavController|NavHost,Use Material3 NavigationBar with 3-5 destinations,contentDescription on each tab,https://developer.android.com/develop/ui/compose/components/bottom-navigation
Tab Layout,Android,Navigation,"tab viewpager swipe sections",Swipeable sections,TabRow|HorizontalPager,Use HorizontalPager in Compose,Tab labels accessible,https://developer.android.com/develop/ui/compose/layouts/pager
Navigation Drawer,Android,Navigation,"drawer sidebar hamburger menu",Secondary navigation,ModalNavigationDrawer|DrawerState,Use ModalNavigationDrawer in Compose,Drawer toggle labeled,https://developer.android.com/develop/ui/compose/components/drawer
Tab Bar,iOS,Navigation,"tabbar uitabbar swiftui",Main navigation,TabView|tabItem,Max 5 tabs in TabView,VoiceOver for each tab,https://developer.apple.com/documentation/swiftui/tabview
Navigation Stack,iOS,Navigation,"navigationstack push pop hierarchical",Hierarchical navigation,NavigationStack|NavigationLink|NavigationPath,Use NavigationStack over deprecated NavigationView,Back button auto-labeled,https://developer.apple.com/documentation/swiftui/navigationstack
Bottom Navigation Bar,Flutter,Navigation,"bottomnavbar scaffold material",Main navigation,NavigationBar|Scaffold,Use NavigationBar (Material3),semanticsLabel on items,https://api.flutter.dev/flutter/material/NavigationBar-class.html
GoRouter Navigation,Flutter,Navigation,"gorouter deeplink routing declarative",Deep linking routing,GoRouter|ShellRoute|StatefulShellRoute,Use ShellRoute for nested navigation,Route announcements,https://pub.dev/packages/go_router
Bottom Tab Navigator,React Native,Navigation,"bottom tab react navigation",Main navigation,createBottomTabNavigator|Tab.Navigator,Use @react-navigation/bottom-tabs,accessibilityLabel on tabs,https://reactnavigation.org/docs/bottom-tab-navigator
Stack Navigator,React Native,Navigation,"stack push pop screen navigator",Screen-to-screen,createNativeStackNavigator|Stack.Navigator,Prefer native stack for performance,headerBackAccessibilityLabel,https://reactnavigation.org/docs/native-stack-navigator
Side Menu,All,Navigation,"side menu hamburger drawer secondary",Secondary navigation,DrawerLayout|SideMenu,Swipe gesture + button toggle,Menu toggle accessible,
Lazy Column,Android,List,"lazycolumn recyclerview scroll vertical",Vertical scrolling list,LazyColumn|items|key,Always provide key for stable recomposition,contentDescription on items,https://developer.android.com/develop/ui/compose/lists
Lazy Grid,Android,List,"lazygrid grid gallery adaptive",Grid layout,LazyVerticalGrid|GridCells.Adaptive,Use Adaptive for responsive grids,Grid item labels,https://developer.android.com/develop/ui/compose/lists#grids
List with SwiftUI,iOS,List,"list foreach scrollview data",Data list,List|ForEach|ScrollView,Use List for automatic cell reuse,VoiceOver navigation,https://developer.apple.com/documentation/swiftui/list
LazyVStack,iOS,List,"lazyvstack lazy loading scrollview",Large data set,LazyVStack|ScrollView,Use LazyVStack inside ScrollView for lazy loading,Accessible labels,https://developer.apple.com/documentation/swiftui/lazyvstack
ListView Builder,Flutter,List,"listview builder scroll items",Scrollable list,ListView.builder|itemBuilder,Always use builder constructor for long lists,Semantics widget,https://api.flutter.dev/flutter/widgets/ListView-class.html
SliverList,Flutter,List,"sliver customscrollview complex scroll",Complex scroll layouts,CustomScrollView|SliverList|SliverGrid,Use slivers for mixed scroll content,SemanticsService,https://api.flutter.dev/flutter/widgets/SliverList-class.html
FlatList,React Native,List,"flatlist scroll performance virtualized",Performant list,FlatList|keyExtractor|renderItem,Always provide keyExtractor avoid inline renderItem,accessibilityRole list,https://reactnative.dev/docs/flatlist
SectionList,React Native,List,"sectionlist grouped header sections",Grouped data,SectionList|renderSectionHeader,Use for logically grouped data,Section header accessible,https://reactnative.dev/docs/sectionlist
TextField,Android,Input,"textfield input form material outlined",Text input,TextField|OutlinedTextField|BasicTextField,Use OutlinedTextField for forms with validation,Label and error announced,https://developer.android.com/develop/ui/compose/text/user-input
Secure Field,iOS,Input,"securefield password secure entry",Password input,SecureField|TextField,Use SecureField for passwords,isSecureTextEntry announced,https://developer.apple.com/documentation/swiftui/securefield
Form Validation,All,Input,"form validation error inline",Form handling,Form|Validator|ErrorMessage,Show inline errors below fields,Error linked to field,
Search Bar,All,Input,"searchbar search filter query",Content search,SearchBar|SearchView|SearchAnchor,Debounce search input 300ms,Search role announced,https://developer.android.com/reference/kotlin/androidx/compose/material3/package-summary#SearchBar
Date Picker,All,Input,"datepicker calendar date selection",Date selection,DatePicker|DatePickerDialog,Use platform native date pickers,Date format announced,https://developer.android.com/reference/kotlin/androidx/compose/material3/package-summary#DatePicker
Dropdown Menu,All,Input,"dropdown select menu picker",Selection from options,ExposedDropdownMenuBox|Picker|DropdownButton,Avoid custom dropdowns when native exists,Selection announced,https://developer.android.com/reference/kotlin/androidx/compose/material3/package-summary#ExposedDropdownMenuBox
Slider,All,Input,"slider range seekbar value",Range selection,Slider|RangeSlider,Show current value label,Value announced on change,https://developer.android.com/reference/kotlin/androidx/compose/material3/package-summary#Slider
Bottom Sheet,Android,Modal,"bottomsheet modal sheet actions",Quick actions,ModalBottomSheet|SheetState,Use ModalBottomSheet in Compose,Sheet draggable announced,https://developer.android.com/reference/kotlin/androidx/compose/material3/package-summary#ModalBottomSheet
Alert Dialog,All,Modal,"alert dialog popup confirm",Confirmation,AlertDialog|Dialog,Use platform-native AlertDialog,Focus trapped in dialog,https://developer.android.com/develop/ui/compose/components/dialog
Action Sheet,iOS,Modal,"actionsheet confirmation picker ios",iOS-style actions,confirmationDialog|ActionSheet,Use confirmationDialog in SwiftUI,Actions labeled,https://developer.apple.com/documentation/swiftui/view/confirmationdialog(_:ispresented:titlevisibility:actions:)-46zbb
Snackbar,All,Feedback,"snackbar toast message brief",Brief feedback,Snackbar|SnackbarHost,Auto-dismiss after 4 seconds,Announced to screen reader,https://developer.android.com/develop/ui/compose/components/snackbar
Full Screen Dialog,All,Modal,"fullscreen dialog form multistep",Complex input,Dialog fullscreen|fullScreenCover,Use for multi-step forms,Close button accessible,
Popup Menu,All,Modal,"popup context menu options",Quick options,DropdownMenu|PopupMenuButton|ContextMenu,Show on long press or icon tap,Menu items labeled,https://developer.android.com/reference/kotlin/androidx/compose/material3/package-summary#DropdownMenu
Empty State,All,State,"empty placeholder illustration nodata",No data,EmptyView|placeholder,Show illustration + message + CTA,Descriptive text for reader,
Loading Skeleton,All,State,"loading shimmer placeholder skeleton",Data loading,Shimmer|Skeleton|redacted,Prefer skeleton over spinner for content,Loading state announced,
Error State,All,State,"error retry failure message",Error display,ErrorView|retry button,Show error message + retry button,Error announced,
Pull to Refresh,All,Interaction,"pull refresh swipe reload data",Data refresh,SwipeRefresh|refreshable|RefreshIndicator,Use platform-native pull to refresh,Refresh state announced,https://developer.android.com/reference/kotlin/androidx/compose/material3/pulltorefresh/package-summary
Infinite Scroll,All,List,"pagination lazy load infinite scroll endless",Long lists,Paging3|LazyColumn|FlatList onEndReached,Load more when 5 items from bottom,Loading indicator accessible,https://developer.android.com/topic/libraries/architecture/paging/v3-overview
Offline State,All,State,"offline no connection network",No internet,ConnectivityManager|NWPathMonitor,Cache data for offline + show banner,Connectivity change announced,https://developer.android.com/training/monitoring-device-state/connectivity-status-type
Card Layout,All,Layout,"card elevation surface container",Content container,Card|ElevatedCard|Surface,Use consistent elevation system,Card as button if clickable,https://developer.android.com/develop/ui/compose/components/card
Responsive Layout,All,Layout,"responsive adaptive screen size multiscreen",Multi-screen support,BoxWithConstraints|GeometryReader|LayoutBuilder,Use window size classes on Android,Content reflows properly,https://developer.android.com/develop/ui/compose/layouts/adaptive
Sticky Header,All,Layout,"sticky header pinned section",Section headers,stickyHeader|pinnedItems|SliverPersistentHeader,Use for categorized content,Header remains visible,https://developer.android.com/develop/ui/compose/lists#sticky-headers
Collapsing Toolbar,Android,Layout,"collapsing toolbar appbar scroll",Scrollable header,LargeTopAppBar|TopAppBarScrollBehavior,Use exitUntilCollapsed scroll behavior,Title announced,https://developer.android.com/reference/kotlin/androidx/compose/material3/package-summary#LargeTopAppBar
Floating Action Button,Android,Layout,"fab action primary button material",Primary action,FloatingActionButton|ExtendedFAB,One FAB per screen max,Action label required,https://developer.android.com/develop/ui/compose/components/fab
Safe Area,All,Layout,"safearea inset notch edge-to-edge",Edge-to-edge,SafeArea|safeAreaInset|SafeAreaView,Always respect safe area insets,No content behind system UI,https://developer.android.com/develop/ui/compose/layouts/insets
Image Loading,All,Media,"image loading cache placeholder remote",Remote images,Coil|Kingfisher|CachedNetworkImage|FastImage,Always show placeholder + error state,Alt text on images,
Video Player,All,Media,"video player stream media playback",Video playback,ExoPlayer|AVPlayer|video_player|react-native-video,Preload next video in list,Captions support,https://developer.android.com/media/media3/exoplayer
Image Carousel,All,Media,"carousel pager gallery swipe images",Image gallery,HorizontalPager|TabView|PageView|PagerView,Show page indicator,Current page announced,https://developer.android.com/develop/ui/compose/layouts/pager
Avatar,All,Media,"avatar profile image circle user",User profile pic,AsyncImage|CircleAvatar|Image,Show initials as fallback,User name in alt text,
Toast Message,All,Feedback,"toast short message notification",Brief notification,Toast|Snackbar|Fluttertoast,Max 2 lines of text,Auto-dismiss announced,
Progress Indicator,All,Feedback,"progress loading spinner circular linear",Loading state,CircularProgressIndicator|ProgressView,Use determinate when progress known,Progress percentage announced,https://developer.android.com/reference/kotlin/androidx/compose/material3/package-summary#CircularProgressIndicator
Badge,All,Feedback,"badge notification count dot indicator",Count indicator,Badge|BadgedBox,Use dot for boolean or count for number,Badge count announced,https://developer.android.com/reference/kotlin/androidx/compose/material3/package-summary#Badge
Rating Bar,All,Feedback,"rating stars review score",User rating,RatingBar|custom stars,Use 5-star standard,Current rating announced,
